bys14,bys20a,bys20b,bys20c,bys20d,bys20e,bys20f,bys20g,bys20h,bys20i,bys20j,bys20k,bys20l,bys20m,bys20n,bys21a,bys21b,bys21c,bys21d,bys21e,bys22a,bys22b,bys22c,bys22d,bys22e,bys22f,bys22g,bys22h,bys23a,bys23b,bys23c,bys23d,bys23e,bys23f,bys24a,bys24b,bys24c,bys24d,bys24e,bys24f,bys24g,bys27a,bys27b,bys27c,bys27d,bys27e,bys27f,bys27g,bys27h,bys27i,bys28,bys33a,bys33b,bys33c,bys33d,bys33e,bys33f,bys33g,bys33h,bys33i,bys33j,bys33k,bys33l,bys35a,bys35b,bys36a,bys36b,bys37,bys42,bys43,bys44a,bys44b,bys44c,bys44d,bys44e,bys44f,bys44g,bys44h,bys45a,bys45b,bys45c,bys46a,bys46b,bys48a,bys48b,bys49a,bys49b,bys54a,bys54b,bys54c,bys54d,bys54e,bys54f,bys54g,bys54h,bys54i,bys54j,bys54k,bys54l,bys54n,bys54o,bys56,bys57,bys58,bys60,bys61,bys62a,bys62b,bys62c,bys62d,bys62e,bys62f,bys62g,bys62h,bys66a,bys66b,bys66c,bys66d,bys66e,bys66f,bys66g,bys71a,bys71b,bys71c,bys71d,bys71e,bys71f,bys71g,bys83a,bys83b,bys85a,bys85b,bys85c,bys85d,bys85e,bys85f,bys85g,f1doqflg,bys39,bys40,bys41
1,2,3,2,2,1,2,2,3,3,4,2,3,2,2,3,3,1,2,3,2,1,1,1,2,1,1,2,0,1,0,0,0,1,2,1,1,1,1,1,1,2,2,3,1,3,3,1,2,2,3,0,0,0,0,1,1,1,0,0,0,0,0,1,1,2,1,4,1,1,2,2,3,1,2,1,1,1,3,4,4,4,3,4,6,4,3,3,3,3,3,2,3,3,3,2,3,3,3,2,3,-1,2,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,-1,2,5,-1,-1,-1,1,0,0,0,0,0,0,-1,-1,3,3,3,2,2,3,3,0,0,1,1
1,3,3,2,1,3,4,2,3,3,3,3,2,3,1,2,3,3,2,2,3,1,2,1,1,1,1,2,1,1,1,0,0,0,2,1,1,2,1,1,1,4,4,2,1,2,2,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,4,1,1,2,2,1,1,3,5,5,4,1,1,1,3,0,1,3,3,2,3,3,2,3,2,1,1,2,3,2,2,7,1,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,-1,-1,7,7,7,0,0,0,0,1,0,0,-1,-1,4,2,3,4,4,4,4,0,1,1,1
1,3,2,2,2,2,3,3,4,4,3,1,3,-9,2,2,4,2,-9,-9,1,1,1,1,1,1,1,1,1,0,0,0,0,0,3,1,1,2,2,1,1,3,3,2,2,3,3,2,3,2,-9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,3,-9,-9,3,3,-9,3,-9,5,2,3,0,0,6,6,0,0,2,1,3,2,3,1,3,3,2,1,1,2,1,2,-1,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,2,-3,-3,-3,-3,-3,0,0,0,0,0,0,1,2,2,-9,-9,-9,-9,-9,-9,-9,0,0,1,0
2,2,3,2,2,2,2,3,3,2,2,2,2,4,1,1,4,3,2,1,2,1,1,2,2,1,1,1,0,0,0,0,0,0,3,1,3,3,2,2,2,2,2,3,1,3,2,1,1,1,3,0,0,0,0,0,0,0,0,0,-9,1,1,0,1,0,1,3,0,0,3,1,1,2,4,1,1,1,4,3,4,1,2,6,6,1,2,3,3,1,2,3,2,3,2,1,3,2,3,3,3,5,1,1,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-6,-9,-1,1,1,1,-3,0,0,0,1,0,0,0,2,-3,2,4,3,3,2,1,3,0,0,1,0
1,3,3,3,2,3,3,3,3,3,2,3,2,3,3,2,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,2,4,2,2,1,1,4,3,3,3,2,3,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,3,1,1,1,1,1,1,1,1,1,0,0,6,6,2,2,2,1,1,1,3,2,2,1,3,1,1,1,1,1,2,-3,-3,-3,-3,1,0,0,0,1,0,1,0,-1,-1,-1,-1,-1,-3,-3,0,0,0,0,0,0,1,2,2,2,2,1,1,1,1,1,1,0,1,0
2,2,3,3,3,2,2,3,3,3,4,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,1,0,0,0,3,1,3,1,1,1,1,2,3,4,1,2,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1,1,2,2,1,3,4,1,1,3,4,3,2,0,1,1,4,0,1,3,3,3,3,2,2,3,2,2,1,3,3,2,3,6,1,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,1,7,1,-3,0,0,0,0,1,0,0,6,8,3,3,-9,1,2,1,3,0,0,1,1
1,3,3,2,3,4,3,3,2,3,2,3,3,3,3,2,3,2,3,2,2,1,1,1,2,1,1,1,0,0,0,0,0,0,3,1,5,2,2,1,1,3,4,2,2,2,3,3,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,4,1,1,3,1,1,1,4,2,1,0,1,5,6,2,3,2,2,1,2,2,2,3,1,2,1,2,2,2,1,5,1,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,1,2,1,1,2,4,3,2,2,0,0,1,0
1,3,3,2,1,2,2,3,3,3,3,3,2,1,3,2,3,2,1,2,1,2,1,1,1,1,1,1,0,1,0,0,0,0,3,1,1,2,2,1,1,3,3,3,1,1,3,1,3,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,2,0,0,1,3,1,1,1,1,1,1,1,3,2,1,1,6,6,0,0,3,3,3,3,3,2,3,1,2,2,2,2,3,2,2,-3,-3,-3,-3,0,1,0,1,1,0,0,0,4,4,2,2,1,1,-3,0,0,0,0,0,0,1,2,-9,1,1,1,1,1,1,1,0,1,1,0
1,3,3,1,1,3,3,2,3,3,3,2,2,1,1,1,3,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5,1,3,5,3,2,1,3,2,3,1,2,3,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,4,1,1,1,2,1,1,1,2,1,1,0,6,0,5,0,0,3,3,3,2,3,1,3,3,1,1,3,3,3,3,-9,1,2,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,3,2,2,4,4,4,4,4,0,0,1,0
2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,1,1,3,0,-1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,3,2,3,3,3,3,3,2,2,3,3,3,3,5,2,-7,-7,-7,-3,-3,-3,-3,-3,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,1,4,3,4,4,4,1,4,0,0,0,1
2,2,2,1,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2,3,1,1,1,1,1,1,1,2,0,0,1,0,0,0,1,1,1,1,1,1,1,2,2,3,1,3,3,2,3,3,-9,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,3,1,1,2,3,1,3,3,1,1,2,4,4,3,2,3,5,6,0,1,3,3,2,2,3,3,3,2,2,2,2,2,3,3,7,1,1,1,1,-3,-3,-3,-3,-3,-3,-3,-3,1,1,-1,-1,1,1,-3,0,0,0,0,0,0,1,1,1,1,1,3,2,4,2,2,0,1,1,0
2,2,3,2,3,2,2,2,4,4,3,1,3,2,1,1,3,1,1,1,2,1,2,1,1,1,1,1,1,1,1,0,1,0,2,1,3,2,1,1,1,2,2,4,1,1,1,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,4,2,1,3,3,3,1,3,4,4,4,5,5,4,1,1,0,2,0,0,3,3,2,3,3,3,3,2,1,3,3,3,3,3,5,1,1,1,1,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,1,1,1,1,0,0,0,0,1,1,0,5,6,4,3,4,4,4,4,4,0,0,1,1
1,-9,-9,-9,2,-9,-9,2,3,3,2,3,-9,-9,3,2,3,3,-9,3,2,1,1,1,1,1,1,1,0,1,1,0,1,0,2,1,1,1,1,1,1,2,2,3,2,3,3,2,3,3,2,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,4,-9,2,2,1,1,1,3,1,1,3,5,4,5,1,3,1,5,1,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,7,1,1,1,1,-3,-3,-3,-3,-3,-3,-3,-3,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,3,2,2,3,4,3,3,0,0,0,1
1,2,3,2,3,2,2,3,3,3,3,3,2,3,3,2,4,4,1,3,3,1,3,1,3,1,2,1,1,1,1,0,0,0,2,1,2,2,1,1,1,3,3,2,1,1,4,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,1,1,2,3,1,1,1,5,3,4,0,3,3,4,2,4,3,3,3,3,3,2,3,2,1,2,2,3,3,3,-1,1,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,6,6,1,1,-3,0,0,0,0,0,0,1,4,2,3,2,3,3,4,2,2,0,1,1,0
1,2,4,1,3,4,3,3,3,3,3,4,2,3,3,2,3,1,3,1,1,1,2,1,3,1,1,1,0,0,1,0,0,0,2,1,2,1,1,1,1,3,3,1,1,1,4,1,4,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,4,0,0,3,4,1,2,3,2,1,-9,4,4,4,3,3,2,4,0,0,3,3,3,3,3,3,3,1,3,3,3,3,3,3,5,2,1,1,0,-3,-3,-3,-3,-3,-3,-3,-3,1,1,4,5,1,1,-1,0,0,1,0,0,0,0,-1,-1,2,3,1,4,-9,2,1,0,0,1,0
1,3,4,1,2,2,4,4,4,1,2,2,2,4,4,2,4,3,2,3,1,1,3,1,1,1,3,3,0,0,0,0,0,0,1,1,5,2,1,1,1,4,3,2,1,1,3,1,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,4,1,1,2,1,1,1,4,2,3,0,4,6,6,1,6,3,3,2,3,2,2,3,1,3,2,3,2,3,3,5,1,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,6,6,6,6,6,6,-3,1,0,0,0,0,0,0,2,1,2,2,2,3,3,4,4,0,0,1,1
1,2,2,1,3,1,2,3,3,4,3,2,3,4,4,2,4,1,2,3,1,1,1,1,2,1,1,1,0,1,0,0,0,0,2,1,1,2,1,1,1,1,2,3,2,2,3,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,3,3,1,2,3,1,1,1,5,2,3,1,3,2,5,2,4,3,3,2,3,2,2,3,2,1,1,2,3,2,3,7,1,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,2,1,6,7,1,-3,0,0,0,0,0,0,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,1,1,0
1,2,2,1,2,2,2,2,3,3,3,3,2,3,3,1,3,3,2,2,1,2,1,1,1,1,1,1,0,0,0,0,0,0,3,2,2,2,2,2,1,2,2,3,1,2,3,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,4,2,1,1,1,1,1,4,4,3,2,1,3,2,6,0,2,3,2,2,3,3,2,3,2,1,2,2,3,2,3,5,1,3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,6,6,4,2,1,0,0,0,0,0,0,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,0,1,0
1,2,2,1,1,2,2,3,2,1,3,2,1,3,4,2,3,4,3,3,3,1,3,1,1,1,1,2,0,0,0,0,0,0,1,1,1,3,1,1,1,2,3,2,2,2,3,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,2,4,2,1,4,4,1,1,1,5,5,5,5,6,6,6,6,6,3,1,3,2,3,2,1,1,3,2,1,3,3,3,5,1,1,1,1,-3,-3,-3,-3,-3,-3,-3,-3,1,1,6,1,1,1,1,0,0,0,0,0,0,1,5,2,-9,-9,-9,-9,-9,-9,-9,0,0,1,0
1,2,2,2,2,2,3,2,3,3,3,2,2,3,3,1,3,3,3,2,3,2,2,1,1,1,1,1,1,1,1,1,1,0,3,2,1,2,1,1,1,2,1,2,1,3,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,4,2,2,3,3,3,4,4,4,4,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,5,1,1,-9,-9,-3,-3,-3,-3,-3,-3,-3,-3,-9,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,1,1,3,-9,-9,-9,-9,-9,-9,-9,0,0,1,1
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,-9,-9,4,2,1,1,-9,-9,-9,1,1,1,-9,0,-9,-9,-9,0,-9,-9,-9,1,1,-9,-9,1,1,4,1,2,2,2,-9,1,3,0,0,0,0,0,1,-9,0,0,-9,0,0,1,2,1,2,-9,2,1,1,-9,2,4,-9,-9,1,-9,5,5,4,1,2,2,3,0,1,3,-9,2,2,3,3,2,2,1,1,-9,3,-9,-9,6,1,1,-9,0,-3,-3,-3,-3,-3,-3,-3,-3,-9,-9,1,-9,-9,-9,-3,0,0,0,0,1,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,1,1,1
2,2,2,1,2,2,2,2,3,2,3,3,2,3,3,2,3,2,2,2,1,1,1,1,1,1,1,2,0,0,1,0,0,0,1,2,2,1,1,1,1,2,2,3,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,4,2,1,3,3,2,3,3,1,1,3,5,3,5,1,2,4,6,1,2,3,3,2,3,3,3,3,2,1,2,3,3,3,3,5,1,1,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,2,-9,-9,-9,-9,-9,-9,-9,0,1,1,1
2,3,2,2,1,-9,4,2,4,4,3,4,2,2,3,2,4,2,2,2,1,1,1,1,1,1,1,1,1,0,1,0,0,0,2,1,3,1,1,2,1,3,2,2,2,3,3,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,0,4,0,0,4,1,-6,4,-9,1,1,3,4,4,4,3,6,6,6,3,3,3,2,3,3,3,2,3,2,2,1,3,3,3,3,7,1,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,1,1,1,-3,0,0,0,0,1,0,0,2,-9,1,1,3,3,1,1,3,0,0,1,0
1,2,1,1,3,1,2,2,4,4,4,4,4,4,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,2,1,1,1,1,1,1,4,1,3,3,1,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,1,1,1,1,1,1,1,1,2,2,0,0,2,4,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,1,1,1,0,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,1,1,1,1,0,0,0,0,0,0,1,2,2,2,2,-9,4,4,2,2,0,0,1,0
2,3,1,2,2,2,2,3,3,3,3,2,2,4,3,2,3,3,3,3,1,1,2,1,1,1,1,1,0,0,0,0,0,0,3,3,3,3,1,2,1,3,2,3,1,2,3,1,4,4,-9,0,0,0,0,0,0,0,0,0,0,-9,1,0,1,1,1,3,0,1,4,4,3,4,4,2,1,4,5,5,5,1,5,0,0,5,2,3,3,2,2,3,3,2,3,1,1,1,3,1,-9,-1,1,2,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,1,1,1,1,0,1,0,0,0,0,0,6,6,3,3,3,1,1,1,1,0,0,1,1
2,2,1,-9,2,2,2,3,3,3,3,3,-9,3,-9,2,3,2,2,2,1,1,1,1,1,1,1,1,-9,0,1,0,0,0,1,2,2,1,1,1,1,3,3,2,1,2,3,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,0,1,4,2,1,2,4,1,1,1,5,5,2,1,2,-9,-9,0,0,3,3,2,3,3,2,3,2,2,1,2,3,2,3,-1,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,1,1,1,-1,-1,-1,0,0,0,0,0,0,1,-1,-1,3,3,2,1,4,1,3,0,1,1,0
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,0
2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,2,1,4,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,3,2,3,3,2,3,1,1,2,2,2,2,3,6,1,-7,-7,-7,-3,-3,-3,-3,-3,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,2,4,3,4,2,2,2,4,0,0,0,1
1,2,2,2,3,2,2,-9,-9,3,4,3,3,3,3,2,3,2,2,2,2,1,1,1,1,1,1,1,1,0,1,0,0,0,2,1,3,3,1,1,1,3,3,3,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,2,2,2,4,2,1,3,4,1,1,4,5,4,3,5,2,2,3,0,2,2,1,3,3,3,2,1,1,1,1,1,3,3,3,6,1,1,1,1,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,1,-9,-9,1,0,0,0,0,0,0,1,8,7,3,3,3,4,4,4,4,0,0,1,0
1,2,3,2,1,2,2,2,4,3,3,1,2,-9,3,2,3,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5,2,4,2,1,1,1,3,2,3,1,3,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,-6,-3,-3,-3,-3,4,3,2,2,1,2,3,3,1,4,2,5,4,4,1,2,6,6,3,5,3,2,3,2,-9,2,3,2,1,2,2,3,3,3,6,1,1,1,1,-3,-3,-3,-3,-3,-3,-3,-3,1,1,-1,-1,1,1,1,0,0,0,0,1,0,0,2,2,3,2,4,4,3,3,3,0,1,1,0
1,3,1,2,2,3,2,2,3,3,4,1,2,4,3,2,3,2,2,2,1,1,1,1,1,1,2,1,1,0,0,0,0,1,5,3,3,2,2,1,1,2,2,3,1,2,3,1,3,1,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,3,0,1,4,1,1,4,1,1,1,4,1,1,2,1,0,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,0,1,0
